EnsemblID	GeneID	count
ENSG00000157613	90993	199
ENSG00000158290	8450	232
ENSG00000158352	57477	141
ENSG00000159871	284348	14
ENSG00000159882	7773	8
ENSG00000159885	7673	6
ENSG00000159905	7638	769
ENSG00000159915	353355	1
ENSG00000159917	9310	3
ENSG00000160007	2909	201
ENSG00000160013	5739	342
ENSG00000160014	808	954
ENSG00000160321	7757	28
ENSG00000160392	126526	769
ENSG00000160396	147746	8
ENSG00000160410	92799	52
ENSG00000160439	112724	9
ENSG00000160460	57731	50
ENSG00000160469	84446	107
ENSG00000160471	125965	12
ENSG00000160472	147744	7
ENSG00000160505	147945	49
ENSG00000160570	162989	15
ENSG00000161016	6132	65
ENSG00000161179	150223	7
ENSG00000161180	164592	4
ENSG00000161202	1857	192
ENSG00000161203	1173	155
ENSG00000161204	55324	8
ENSG00000161217	5130	114
